127.0.0.1 - - [05/Jul/2024:13:50:33 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [05/Jul/2024:13:50:35 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 2804
0:0:0:0:0:0:0:1 - - [05/Jul/2024:13:50:35 +0700] "GET /favicon.ico HTTP/1.1" 404 685
0:0:0:0:0:0:0:1 - - [05/Jul/2024:13:52:35 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 2790
0:0:0:0:0:0:0:1 - - [05/Jul/2024:13:52:36 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 2790
0:0:0:0:0:0:0:1 - - [05/Jul/2024:13:52:37 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 2790
0:0:0:0:0:0:0:1 - - [05/Jul/2024:13:52:52 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 2784
0:0:0:0:0:0:0:1 - - [05/Jul/2024:13:53:03 +0700] "GET /WebBanDungCuTheThao/products.jsp HTTP/1.1" 404 665
0:0:0:0:0:0:0:1 - - [05/Jul/2024:13:53:43 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 3049
0:0:0:0:0:0:0:1 - - [05/Jul/2024:13:53:51 +0700] "GET /WebBanDungCuTheThao/login.jsp HTTP/1.1" 404 662
0:0:0:0:0:0:0:1 - - [05/Jul/2024:13:53:58 +0700] "GET /WebBanDungCuTheThao/cart.jsp HTTP/1.1" 404 661
0:0:0:0:0:0:0:1 - - [05/Jul/2024:13:54:14 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 3049
0:0:0:0:0:0:0:1 - - [05/Jul/2024:13:54:15 +0700] "GET /WebBanDungCuTheThao/products.jsp HTTP/1.1" 404 665
0:0:0:0:0:0:0:1 - - [05/Jul/2024:13:54:22 +0700] "GET /WebBanDungCuTheThao/cart.jsp HTTP/1.1" 404 661
0:0:0:0:0:0:0:1 - - [05/Jul/2024:13:58:06 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 3092
0:0:0:0:0:0:0:1 - - [05/Jul/2024:13:58:06 +0700] "GET /IMG/logo.png HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [05/Jul/2024:13:58:10 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 3092
0:0:0:0:0:0:0:1 - - [05/Jul/2024:13:58:10 +0700] "GET /IMG/logo.png HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [05/Jul/2024:13:58:11 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 3092
0:0:0:0:0:0:0:1 - - [05/Jul/2024:13:58:11 +0700] "GET /IMG/logo.png HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [05/Jul/2024:13:58:36 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 3091
0:0:0:0:0:0:0:1 - - [05/Jul/2024:13:58:36 +0700] "GET /WebBanDungCuTheThao/IMG/logo.png HTTP/1.1" 200 9148
0:0:0:0:0:0:0:1 - - [05/Jul/2024:14:02:09 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 3123
0:0:0:0:0:0:0:1 - - [05/Jul/2024:14:02:09 +0700] "GET /WebBanDungCuTheThao/IMG/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:14:07:04 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 3100
0:0:0:0:0:0:0:1 - - [05/Jul/2024:14:07:04 +0700] "GET /WebBanDungCuTheThao/IMG/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:14:07:12 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [05/Jul/2024:14:07:26 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 3059
0:0:0:0:0:0:0:1 - - [05/Jul/2024:14:14:22 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 3059
0:0:0:0:0:0:0:1 - - [05/Jul/2024:14:14:22 +0700] "GET /WebBanDungCuTheThao/IMG/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:14:14:23 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 3059
0:0:0:0:0:0:0:1 - - [05/Jul/2024:14:14:23 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 3059
0:0:0:0:0:0:0:1 - - [05/Jul/2024:14:14:24 +0700] "GET /WebBanDungCuTheThao/index.jsp HTTP/1.1" 200 3059
